Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
55837                            X;;55837;MEDERIC;PYJA SHORT;DELFINO;26E;33;90;-;PFL;0H5;;;
55838                            X;;55838;MARIUS;TEE SHIRT;DELFINO;26E;13;35;-;PFL;0H5;;;
55839                            X;;55839;MARLON;TEE SHIRT;DELFINO;26E;13;35;-;PFL;0H5;;;
558R4                            X;;558R4;LIONEL;PYJAMA;STE TEX-MODE;25H;27;90;-;PFL;25H;;;
66478                            X;;66478;JESSON;PANTALON;ROSELLA;24E;36;100;-;PFL;0GE;;R0;
66479                            X;;66479;INDYRA;legging;ROSELLA;24H;36;100;-;PFL;0GS;;;
66480                            X;;66480;IRVINE;PANTALON;ROSELLA;24H;36;100;-;PFL;0GS;;;
66481                            X;;66481;IDIATOU;MUM;NBL;24H;11;28;-;PFL;0GV;;;
70081                            X;;70081;ILDA;ROBE;ROSELLA;24H;58;160;-;PFL;0GH;;;
70082                            X;;70082;IMELDA;ROBE;ROSELLA;24H;58;160;-;PFL;0GH;;;
70083                            X;;70083;IVANA;TUNIQUE;ROSELLA;24H;42;120;-;PFL;0GH;;;
70084                            X;;70084;ICARUS;PANTALON;ROSELLA;24H;36;100;-;PFL;0GH;;;
70085                            X;;70085;ICM;PULL;COMETEX;24H;31;90;-;PFL;0GH;;;
70086                            X;;70086;IDOLATRIE;PULL;COMETEX;24H;32;90;-;PFL;0GH;;;
70087                            X;;70087;ISEMBERT;PULL;COMETEX;24H;30;90;-;PFL;0GH;;;
70088                            X;;70088;ISMARIE;CHEMISE;SORECO;24H;42;120;-;PFL;0GH;;;
70089                            X;;70089;IZABELLE;CHEMISE;ARTEMIS;24H;29;90;-;PFL;0GS;;;
70090                            X;;70090;IRONE;CHEMISE;ROSELLA;24H;35;110;-;PFL;0GS;;;
70091                            X;;70091;IPEK;ROBE;ROSELLA;24H;40;140;-;PFL;0GS;;;
70092                            X;;70092;IONEL;ROBE;ROSELLA;24H;59;170;-;PFL;0GS;;;
70093                            X;;70093;IBA;ROBE;ROSELLA;24H;55;160;-;PFL;0GS;;;
70094                            X;;70094;ITZIAR;CHEMISE;STE TEX-MODE;24H;32;90;-;PFL;0GS;;;
70100                            X;;70100;JOJOBA;ROBE;STE TEX-MODE;25E;62;170;-;PFL;0GY;;;
70101                            X;;70101;JOHAINA;ROBE;STE TEX-MODE;25E;62;170;-;PFL;0GY;;;
