Identifiant article;Code-barres article;Code article;Libellé;Famille;Fournisseur principal;Collection;Prix de revient HT article;Prix Détail (TTC);Prix unique;Catégorie;Grille masque des dimensions;Grille dimension 1;Code tarif;
21059                            X;;21059;JABIRU;TENUE VENDEUR(se);STE TEX-MODE;24E;13;0;-;PFL;0GG;;R0;
21060                            X;;21060;JABLER;TENUE VENDEUR(se);ROUDAYNA MODE;24E;19;0;-;PFL;0GG;;R0;
21061                            X;;21061;JABLAS;ROBE;MAILLE CLUB;24E;28;80;-;PFM;0GG;;;
21062                            X;;21062;JABOTAI;ROBE;ARTEMIS;24E;49;150;-;PFL;0GH;;;
21063                            X;;21063;JABIRUS;CHEMISE;MY LOOK;24E;25;80;-;PFL;0GH;;;
21064                            X;;21064;JABLAIS;PANTALON;MY LOOK;24E;24;80;-;PFL;0GH;;;
21065                            X;;21065;JAYLEN;ROBE;TIN TRADE;24E;35;130;-;PFL;0GH;;;
21066                            X;;21066;JABLAT;CHEMISE;STE TEX-MODE;24E;28;90;-;PFL;0GH;;;
21067                            X;;21067;JABLEZ;ROBE;STE TEX-MODE;24E;53;150;-;PFL;0GH;;;
21068                            X;;21068;JABLOIR;TEE SHIRT;STE TEX-MODE;24E;13;50;-;PFL;0GH;;;
21069                            X;;21069;ISABELLE;VESTE;ROSELLA;24H;61;180;-;PFL;0GH;;;
21070                            X;;21070;INGRID;PANTALON;ROSELLA;24H;36;100;-;PFL;0GH;;;
21071                            X;;21071;IRÈNE;VESTE;ROSELLA;24H;69;190;-;PFL;0GH;;;
21072                            X;;21072;ILONA;PANTALON;ROSELLA;24H;36;100;-;PFL;0GH;;;
21073                            X;;21073;IVY;VESTE;ROSELLA;24H;81;230;-;PFL;0GH;;;
21078                            X;;21078;IGOR;VESTE;ROSELLA;24H;69;190;-;PFL;0GH;;;
21079                            X;;21079;IVAN;PANTALON;ROSELLA;24H;36;100;-;PFL;0GH;;;
21080                            X;;21080;IAN;VESTE;ROSELLA;24H;69;190;-;PFL;0GH;;;
21081                            X;;21081;ILARIA;PANTALON;ROSELLA;24H;35;100;-;PFL;0GH;;;
21082                            X;;21082;JACTASSIEZ;SLIP;EDL TRADING;24E;9;25;-;PFL;0GH;;;
21083                            X;;21083;JACTASSIONS;SOUTIEN;EDL TRADING;24E;34;100;-;PFL;LIN;;;
21084                            X;;21084;JACTAT;SLIP;EDL TRADING;24E;40;100;-;PFL;0GH;;;
21085                            X;;21085;JACTERA;SLIP;EDL TRADING;24E;33;90;-;PFL;0GH;;;
21086                            X;;21086;JACTENT;DEBARDEUR;EDL TRADING;24E;12;30;-;PFL;0GH;;;
21087                            X;;21087;JACTEES;DEBARDEUR;EDL TRADING;24E;12;30;-;PFL;LIN;;;
21088                            X;;21088;JACTERAIENT;DEBARDEUR;EDL TRADING;24E;12;30;-;PFL;0GH;;;
21089                            X;;21089;JACTERAIS;DEBARDEUR;EDL TRADING;24E;12;30;-;PFL;LIN;;;
21090                            X;;21090;JACTERAIT;SLIP;EDL TRADING;24E;8;22;-;PFL;0GH;;;
21091                            X;;21091;JACTERAS;SLIP;EDL TRADING;24E;8;22;-;PFL;LIN;;;
21092                            X;;21092;JACTIONS;SLIP;EDL TRADING;24E;13;30;-;PFL;0GH;;;
21093                            X;;21093;JAC;SLIP;EDL TRADING;24E;12;30;-;PFL;0GH;;;
21094                            X;;21094;JADIS;SLIP;EDL TRADING;24E;12;30;-;PFL;LIN;;;
21095                            X;;21095;JAGUAR;SLIP;EDL TRADING;24E;12;30;-;PFL;LIN;;;
21096                            X;;21096;JACTASSES;SOUTIEN;EDL TRADING;24E;21;70;-;PFL;LIN;;;
21099                            X;;21099;JAILLISSANTE;CHEMISE;ARTEMIS;24E;28;90;-;PFL;0GH;;;
21101                            X;;21101;JAILLIS;ROBE;ARTEMIS;24E;51;150;-;PFL;0GH;;;
21103                            X;;21103;JAILLIE;JUPE;ARTEMIS;24E;34;100;-;PFL;0GH;;;
21104                            X;;21104;JABLE;SET;AICHA FASHION;24E;41;130;-;PFL;0GH;;;
21105                            X;;21105;JABOT;KIMONO;AICHA FASHION;24E;35;100;-;PFL;0GJ;;;
21106                            X;;21106;ICAQUE;VESTE;ROSELLA;24H;69;190;-;PFL;0GH;;;
21107                            X;;21107;INAYA;PANTALON;ROSELLA;24H;36;100;-;PFL;0GH;;;
21108                            X;;21108;ICARIEN;CHEMISE;ROSELLA;24H;35;100;-;PFL;0GH;;;
21109                            X;;21109;ICONE;CHEMISE;ROSELLA;24H;36;100;-;PFL;0GH;;;
21110                            X;;21110;ICONIQUE;VESTE;ROSELLA;24H;77;230;-;PFL;0GH;;;
21111                            X;;21111;ICTERE;PANTALON;ROSELLA;24H;35;100;-;PFL;0GH;;;
21112                            X;;21112;ICOGLAN;MANTEAU;ROSELLA;24H;102;290;-;PFL;0GH;;;
21113                            X;;21113;ICOSANDRE;VESTE;ROSELLA;24H;69;190;-;PFL;0GH;;;
21114                            X;;21114;ICONOSTASE;VESTE;ROSELLA;24H;69;190;-;PFL;0GH;;;
21115                            X;;21115;ICONOSCOPE;PANTALON;ROSELLA;24H;36;100;-;PFL;0GH;;;
21116                            X;;21116;IDIOME;PANTALON;ROSELLA;24H;36;100;-;PFL;0GH;;;
21117                            X;;21117;IDOLE;CHEMISE;ROSELLA;24H;33;90;-;PFL;0GH;;;
21118                            X;;21118;IDYLLE;VESTE;ROSELLA;24H;81;250;-;PFL;0GH;;;
21119                            X;;21119;IDONIE;ROBE;ROSELLA;24H;53;150;-;PFL;0GH;;;
21120                            X;;21120;ICHTYOSE;TUNIQUE;ROSELLA;24H;32;90;-;PFL;0GH;;;
21121                            X;;21121;JACANA;KIMONO;AICHA FASHION;24E;35;110;-;PFL;0GI;;;
21122                            X;;21122;IDEAL;PULL;COMETEX;24H;29;90;-;PFL;0GH;;;
21123                            X;;21123;IDONEITE;PULL;COMETEX;24H;30;90;-;PFL;0GH;;;
21124                            X;;21124;ICELLE;GILET;COMETEX;24H;34;100;-;PFL;0GH;;;
21125                            X;;21125;ICAUNAIS;GILET;COMETEX;24H;32;90;-;PFL;0GH;;;
21126                            X;;21126;ICHOR;PULL;COMETEX;24H;29;90;-;PFL;0GH;;;
21127                            X;;21127;ICHTHYS;PULL;COMETEX;24H;31;90;-;PFL;0GH;;;
21128                            X;;21128;ICTUS;PULL;COMETEX;24H;28;80;-;PFL;0GH;;;
21129                            X;;21129;IDYLLIQUE;PULL;COMETEX;24H;31;90;-;PFL;0GH;;;
21130                            X;;21130;IRENEE;GILET;COMETEX;24H;31;90;-;PFL;0GH;;;
21131                            X;;21131;ISDOR;PULL;COMETEX;24H;31;100;-;PFL;0GH;;;
21132                            X;;21132;IVAN;ROBE;COMETEX;24H;32;90;-;PFL;0GH;;;
21133                            X;;21133;IMBERT;PULL;COMETEX;24H;32;90;-;PFL;0GH;;;
21134                            X;;21134;ISALINE;GILET;COMETEX;24H;32;90;-;PFL;0GH;;;
21135                            X;;21135;IZABEL;PULL;COMETEX;24H;32;90;-;PFL;0GH;;;
21136                            X;;21136;IRIS;LOUNGE WEAR;COMETEX;24H;58;160;-;PFL;0GH;;;
21137                            X;;21137;ISOARD;LOUNGE WEAR;COMETEX;24H;58;160;-;PFL;0GH;;;
21138                            X;;21138;IWAN;PULL;COMETEX;24H;34;100;-;PFL;0GH;;;
21141                            X;;21141;JABOTA;MAILLOT;S.B.C;24E;52;130;-;PFL;0GH;;;
21142                            X;;21142;JAB;MAILLOT;ROUDAYNA MODE;24E;51;130;-;PFL;0GH;;;
21143                            X;;21143;IDONIE;PULL;COMETEX;24H;26;80;-;PFL;0GH;;;
21144                            X;;21144;ISABELE;PULL;COMETEX;24H;26;80;-;PFL;0GH;;;
21145                            X;;21145;IMPERIA;PULL;COMETEX;24H;26;80;-;PFL;0GH;;;
21146                            X;;21146;ISOARDE;GILET;COMETEX;24H;34;100;-;PFL;0GH;;;
21147                            X;;21147;IDOUX;GILET;COMETEX;24H;23;80;-;PFL;0GH;;;
21148                            X;;21148;IDONIE;GILET;COMETEX;24H;24;70;-;PFL;0GI;;;
21149                            X;;21149;ISAYE;ROBE;COMETEX;24H;24;70;-;PFL;0GH;;;
21150                            X;;21150;ISAK;GILET;COMETEX;24H;28;90;-;PFL;0GH;;;
21151                            X;;21151;IEANE;GILET;COMETEX;24H;30;90;-;PFL;0GI;;;
21152                            X;;21152;IWAN;GILET;COMETEX;24H;24;70;-;PFL;0GH;;;
21153                            X;;21153;INAURIS;LOUNGE WEAR;COMETEX;24H;39;130;-;PFL;0GH;;;
21154                            X;;21154;IMPERIAL;ROBE;COMETEX;24H;24;70;-;PFL;0GI;;;
21155                            X;;21155;IGNACI;PULL;COMETEX;24H;21;60;-;PFL;0GH;;;
21156                            X;;21156;ISDORO;GILET;COMETEX;24H;18;60;-;PFL;0GH;;;
21157                            X;;21157;IRLANDE;PULL;COMETEX;24H;21;60;-;PFL;0GH;;;
21158                            X;;21158;ILONA;PONCHO;COMETEX;24H;23;90;-;PFL;0GH;;;
21159                            X;;21159;IGNACOL;ROBE;COMETEX;24H;24;70;-;PFL;0GH;;;
21160                            X;;21160;IANNE;PULL;COMETEX;24H;22;70;-;PFL;0GH;;;
21161                            X;;21161;IDIER;ROBE;COMETEX;24H;24;70;-;PFL;0GI;;;
21162                            X;;21162;INFANS;GILET;COMETEX;24H;27;80;-;PFL;0GH;;;
21163                            X;;21163;IOLANDE;GILET;COMETEX;24H;24;80;-;PFL;0GH;;;
21164                            X;;21164;IZAIE;PULL;COMETEX;24H;18;60;-;PFL;0GH;;;
21165                            X;;21165;IABELLA;PULL;COMETEX;24H;23;70;-;PFL;0GI;;;
21166                            X;;21166;IVER;GILET;COMETEX;24H;21;60;-;PFL;0GH;;;
21167                            X;;21167;INOMIE;PANTALON;COMETEX;24H;17;50;-;PFL;0GH;;;
21168                            X;;21168;ISISDORE;ROBE;COMETEX;24H;27;100;-;PFL;0GH;;;
21169                            X;;21169;IGNATIA;PANTALON;COMETEX;24H;17;50;-;PFL;0GH;;;
21170                            X;;21170;ISMERINE;PANTALON;COMETEX;24H;17;50;-;PFL;0GH;;;
21171                            X;;21171;ISORINE;GILET;COMETEX;24H;24;80;-;PFL;0GH;;;
21172                            X;;21172;ILAIRE;GILET;COMETEX;24H;26;80;-;PFL;0GI;;;
21173                            X;;21173;ILLUMINE;GILET;COMETEX;24H;26;80;-;PFL;0GI;;;
21174                            X;;21174;IGNASS;PULL;COMETEX;24H;21;60;-;PFL;0GH;;;
21175                            X;;21175;IZABELLE;PULL;COMETEX;24H;21;60;-;PFL;0GH;;;
21176                            X;;21176;ISMERE;GILET;COMETEX;24H;24;90;-;PFL;0GH;;;
21177                            X;;21177;IOLANRE;PULL;COMETEX;24H;17;50;-;PFL;0GH;;;
21178                            X;;21178;INGELE;GILET;COMETEX;24H;23;70;-;PFL;0GH;;;
21179                            X;;21179;ISAIDE;PONCHO;COMETEX;24H;23;90;-;PFL;0GJ;;;
21180                            X;;21180;IZIDORE;PYJAMA;DELFINO;24H;45;110;-;PFL;0GH;;;
21181                            X;;21181;ISIDORUS;GILET;STE GAT FASHION;24H;28;80;-;PFL;0GH;;;
21182                            X;;21182;ISNARD;DEBARDEUR;STE GAT FASHION;24H;23;80;-;PFL;0GH;;;
21183                            X;;21183;JABOTONS;PYJA SHORT;STE TEX-MODE;24E;17;70;-;PFL;0GH;;;
21184                            X;;21184;JACTANT;ROBE;AICHA FASHION;24E;38;110;-;PFL;0GH;;;
21185                            X;;21185;INFANT;CHEMISE;ARTEMIS;24H;31;90;-;PFL;0GH;;;
21186                            X;;21186;ICHOUA;CHEMISE;ARTEMIS;24H;28;90;-;PFL;0GH;;;
21187                            X;;21187;IDDA;CHEMISE;ARTEMIS;24H;35;100;-;PFL;0GH;;;
21188                            X;;21188;ITHON;CHEMISE;ARTEMIS;24H;31;90;-;PFL;0GH;;;
21189                            X;;21189;IRINA;VESTE;ARTEMIS;24H;75;230;-;PFL;0GH;;;
21190                            X;;21190;IMELDA;JUPE;ARTEMIS;24H;38;100;-;PFL;0GH;;;
21200                            X;;21200;IZIDOR;PANTALON;ARTEMIS;24H;33;100;-;PFL;0GH;;;
21201                            X;;21201;IVETTE;PANTALON;ARTEMIS;24H;30;90;-;PFL;0GH;;;
21202                            X;;21202;IERRE;PANTALON;ARTEMIS;24H;29;90;-;PFL;0GH;;;
21203                            X;;21203;IZOLINE;PANTALON;ARTEMIS;24H;33;100;-;PFL;0GH;;;
21204                            X;;21204;IOLENTE;PANTALON;ARTEMIS;24H;33;100;-;PFL;0GH;;;
21205                            X;;21205;ISLIDA;CHEMISE;ARTEMIS;24H;34;100;-;PFL;0GH;;;
21206                            X;;21206;JABADAOS;DEBARDEUR;AICHA FASHION;24E;8;30;-;PFL;0GH;;;
21207                            X;;21207;JABALANT;TUNIQUE;AICHA FASHION;24E;8;40;-;PFL;0GH;;;
21208                            X;;21208;ISARN;PANTALON;SORECO;24H;34;110;-;PFL;0GH;;;
21209                            X;;21209;ISOLINA;PANTALON;SORECO;24H;34;100;-;PFL;0GH;;;
21210                            X;;21210;IOLANDA;PANTALON;SORECO;24H;34;100;-;PFL;0GH;;;
21211                            X;;21211;IRDONIE;PANTALON;SORECO;24H;35;100;-;PFL;0GH;;;
21212                            X;;21212;IBERT;PANTALON;SORECO;24H;35;100;-;PFL;0GH;;;
21213                            X;;21213;ISACQ;CORSAIRE;METAPHORE LINE;24H;16;40;-;PFL;0GH;;;
21214                            X;;21214;ISALIE;CALECON;METAPHORE LINE;24H;18;50;-;PFL;0GH;;;
21215                            X;;21215;ISTVAN;DEBARDEUR;NOURRISSON;24H;24;70;-;PFL;0GS;;;
21216                            X;;21216;IGNACY;PULL;NOURRISSON;24H;28;90;-;PFL;0GS;;;
21217                            X;;21217;IMAGINA;PULL;NOURRISSON;24H;25;90;-;PFL;0GS;;;
21218                            X;;21218;INGE;PULL;NOURRISSON;24H;28;80;-;PFL;0GS;;;
21219                            X;;21219;ISIDRE;PULL;NOURRISSON;24H;27;90;-;PFL;0GS;;;
21220                            X;;21220;IGNAZIA;GILET;NOURRISSON;24H;27;80;-;PFL;0GS;;;
21221                            X;;21221;ISMERY;DEBARDEUR;NOURRISSON;24H;24;80;-;PFL;0GS;;;
21222                            X;;21222;INGRAM;PULL;NOURRISSON;24H;26;90;-;PFL;0GS;;;
21223                            X;;21223;IRME;DEBARDEUR;NOURRISSON;24H;26;80;-;PFL;0GS;;;
21224                            X;;21224;IZARN;PULL;NOURRISSON;24H;25;80;-;PFL;0GS;;;
21225                            X;;21225;INCONUE;PULL;NOURRISSON;24H;25;80;-;PFL;0GS;;;
21226                            X;;21226;ISACC;GILET;NOURRISSON;24H;17;60;-;PFL;0GS;;;
21227                            X;;21227;IMERIE;JOGGING;NOURRISSON;24H;19;80;-;PFL;0GS;;;
21228                            X;;21228;ILLAIRE;PULL;NOURRISSON;24H;24;70;-;PFL;0GS;;;
21229                            X;;21229;ILDUT;PANTALON;MY LOOK;24H;24;80;-;PFL;0GH;;;
21230                            X;;21230;IVANIE;CHEMISE;MY LOOK;24H;26;80;-;PFL;0GH;;;
21231                            X;;21231;IGNODE;CHEMISE;MY LOOK;24H;26;80;-;PFL;0GH;;;
21232                            X;;21232;IDES;PANTALON;MY LOOK;24H;28;80;-;PFL;0GH;;;
21233                            X;;21233;IRMGARD;CHAUSSETTES;JOELLE;24H;40;110;-;PFL;0GL;;;
21234                            X;;21234;IGNATZ;CHAUSSETTES;JOELLE;24H;40;110;-;PFL;0GL;;;
21235                            X;;21235;ITALO;CHAUSSETTES;JOELLE;24H;36;100;-;PFL;0GL;;;
21236                            X;;21236;ISMA;CHAUSSETTES;JOELLE;24H;35;100;-;PFL;0GL;;;
21237                            X;;21237;ISORE;CHAUSSETTES;JOELLE;24H;34;100;-;PFL;0GL;;;
21238                            X;;21238;IDONIA;PANTALON;SORECO;24H;34;100;-;PFL;0GS;;;
21239                            X;;21239;ISIDRO;PANTALON;SORECO;24H;34;100;-;PFL;0GS;;;
21240                            X;;21240;IVES;PANTALON;SORECO;24H;35;100;-;PFL;0GS;;;
21241                            X;;21241;ISAURE;CHEMISE;SORECO;24H;42;120;-;PFL;0GS;;;
21242                            X;;21242;ISOLINE;VESTE;ROSELLA;24H;69;190;-;PFL;0GS;;;
21243                            X;;21243;IDELETTE;PANTALON;ROSELLA;24H;36;100;-;PFL;0GS;;;
21244                            X;;21244;IRMINE;TEE SHIRT;4 PRÊT A PORTER;24H;12;40;-;PFL;0GS;;;
21245                            X;;21245;ISON;ROBE;MIRALETTE;24H;33;100;-;PFL;0GS;;;
21246                            X;;21246;IEAN;VESTE;ARTEMIS;24H;59;170;-;PFL;0GS;;;
21247                            X;;21247;ISIDOOR;ROBE;ARTEMIS;24H;42;120;-;PFL;0GS;;;
21248                            X;;21248;ICONOLOGIE;BLOUSE;ARTEMIS;24H;29;90;-;PFL;0GS;;;
21249                            X;;21249;IDIALITE;PANTALON;ARTEMIS;24H;29;90;-;PFL;0GS;;;
21250                            X;;21250;ISOARDE;PANTALON;ARTEMIS;24H;33;100;-;PFL;0GS;;;
21251                            X;;21251;IDRON;PANTALON;ARTEMIS;24H;28;90;-;PFL;0GS;;;
21252                            X;;21252;IGNAAS;PANTALON;ARTEMIS;24H;29;90;-;PFL;0GS;;;
21253                            X;;21253;ISMENE;GILET;NOURRISSON;24H;38;110;-;PFL;0GS;;;
21254                            X;;21254;ISOMERIE;LOUNGE WEAR;ARTEMIS;24H;49;140;-;PFL;0GS;;;
21255                            X;;21255;IVAR;BLOUSE;ARTEMIS;24H;32;90;-;PFL;0GS;;;
21256                            X;;21256;IZALINE;CHEMISE;ARTEMIS;24H;28;80;-;PFL;0GS;;;
21257                            X;;21257;IMBERTE;CHEMISE;ARTEMIS;24H;33;100;-;PFL;0GS;;;
21258                            X;;21258;INDIE;PYJAMA;MAILLE CLUB;24H;28;80;-;PFL;0GS;;;
21259                            X;;21259;IRENIE;PYJAMA;MAILLE CLUB;24H;28;80;-;PFL;0GS;;;
21260                            X;;21260;ISABELA;PYJAMA;MAILLE CLUB;24H;28;80;-;PFL;0GS;;;
21261                            X;;21261;ISODORUS;PYJAMA;MAILLE CLUB;24H;28;80;-;PFL;0GS;;;
21262                            X;;21262;IRMANCE;PYJAMA;MAILLE CLUB;24H;28;80;-;PFL;0GS;;;
21263                            X;;21263;IDA;TEE SHIRT;MAILLE CLUB;24H;13;40;-;PFL;0GS;;;
21264                            X;;21264;ISMERIE;TEE SHIRT;MAILLE CLUB;24H;13;40;-;PFL;0GS;;;
21265                            X;;21265;IVRIN;ROBE;TIN TRADE;24H;41;130;-;PFL;0GS;;;
21266                            X;;21266;IRYS;SET;TIN TRADE;24H;51;150;-;PFL;0GS;;;
21267                            X;;21267;ISALYNE;SET;TIN TRADE;24H;51;150;-;PFL;0GS;;;
21268                            X;;21268;IWAN;JOGGING;DELFINO;24H;74;190;-;PFL;0GS;;;
21269                            X;;21269;INDIANA;JOGGING;DELFINO;24H;72;180;-;PFL;0GS;;;
21270                            X;;21270;ISSHAK;JOGGING;DELFINO;24H;26;80;-;PFL;0GS;;;
21271                            X;;21271;ILINCA;SAC A MAIN;SHADO;24H;36;100;-;PFL;0GT;;;
21272                            X;;21272;ISAYA;SAC A MAIN;SHADO;24H;32;90;-;PFL;0GT;;;
21273                            X;;21273;IVANO;SAC A MAIN;SHADO;24H;37;110;-;PFL;0GT;;;
21274                            X;;21274;ISIDRO;SAC A MAIN;SHADO;24H;39;110;-;PFL;0GT;;;
21275                            X;;21275;IVA;SAC A MAIN;SHADO;24H;36;110;-;PFL;0GT;;;
21276                            X;;21276;IMAYA;SAC A MAIN;SHADO;24H;38;110;-;PFL;0GT;;;
21277                            X;;21277;ILKAN;SAC A MAIN;SHADO;24H;34;100;-;PFL;0GT;;;
21278                            X;;21278;INTZA;LOUNGE WEAR;3A TRICOTAGE;24H;35;130;-;PFL;0GS;;;
21279                            X;;21279;ILIANN;LOUNGE WEAR;3A TRICOTAGE;24H;38;120;-;PFL;0GS;;;
21280                            X;;21280;ISCIANE;LOUNGE WEAR;3A TRICOTAGE;24H;35;130;-;PFL;0GS;;;
21281                            X;;21281;ISLA;LOUNGE WEAR;3A TRICOTAGE;24H;39;130;-;PFL;0GS;;;
21282                            X;;21282;IDALINE;GILET;3A TRICOTAGE;24H;36;100;-;PFL;0GS;;;
21283                            X;;21283;ILIANE;PANTALON;3A TRICOTAGE;24H;18;60;-;PFL;0GS;;;
21284                            X;;21284;ILIA;ROBE;3A TRICOTAGE;24H;29;100;-;PFL;0GS;;;
21285                            X;;21285;ISABELA;ROBE;3A TRICOTAGE;24H;30;100;-;PFL;0GS;;;
21286                            X;;21286;ISSIAKA;ROBE;3A TRICOTAGE;24H;30;100;-;PFL;0GS;;;
21287                            X;;21287;INACIO;ROBE;3A TRICOTAGE;24H;29;100;-;PFL;0GS;;;
21288                            X;;21288;ILY;BLOUSE;ARTEMIS;24H;30;90;-;PFL;0GS;;;
21289                            X;;21289;ILAYA;CHEMISE;ARTEMIS;24H;29;90;-;PFL;0GS;;;
21290                            X;;21290;IDAN;PANTALON;ARTEMIS;24H;32;90;-;PFL;0GS;;;
21291                            X;;21291;ILES;CHEMISE;ARTEMIS;24H;33;100;-;PFL;0GS;;;
21292                            X;;21292;ILANO;CHEMISE;ROSELLA;24H;34;100;-;PFL;0GS;;;
21293                            X;;21293;IEVA;CHEMISE;ROSELLA;24H;35;100;-;PFL;0GS;;;
21294                            X;;21294;IMA;CHEMISE;ROSELLA;24H;33;100;-;PFL;0GS;;;
21295                            X;;21295;IVONE;ROBE;ROSELLA;24H;56;160;-;PFL;0GS;;;
21296                            X;;21296;ILLARIO;ROBE;ROSELLA;24H;56;160;-;PFL;0GS;;;
21297                            X;;21297;ISALIA;ROBE;ROSELLA;24H;61;170;-;PFL;0GS;;;
21298                            X;;21298;ISIE;VESTE;ROSELLA;24H;69;190;-;PFL;0GS;;;
21299                            X;;21299;IKRANUR;PANTALON;ROSELLA;24H;36;100;-;PFL;0GS;;;
21300                            X;;21300;ISSANE;ROBE;ROSELLA;24H;55;160;-;PFL;0GS;;;
21301                            X;;21301;ISAHORA;JUPE;ROSELLA;24H;31;90;-;PFL;0GS;;;
21302                            X;;21302;ILAAN;BLOUSE;ROSELLA;24H;34;100;-;PFL;0GS;;;
21303                            X;;21303;ILISA;PANTALON;ROSELLA;24H;35;100;-;PFL;0GS;;;
21304                            X;;21304;ILONAH;PANTALON;ROSELLA;24H;35;100;-;PFL;0GS;;;
21305                            X;;21305;ISANDRE;PANTALON;ROSELLA;24H;35;100;-;PFL;0GS;;;
21306                            X;;21306;ISMENE;PANTALON;ROSELLA;24H;35;100;-;PFL;0GS;;;
21307                            X;;21307;ILLIANNA;COMBINAISON;ROSELLA;24H;60;170;-;PFL;0GS;;;
21308                            X;;21308;ILKA;VESTE;ROSELLA;24H;69;190;-;PFL;0GS;;;
21309                            X;;21309;IZIS;VESTE;ROSELLA;24H;38;110;-;PFL;0GS;;;
21310                            X;;21310;IZOENN;GILET;STE GAT FASHION;24H;32;90;-;PFL;0GS;;;
21311                            X;;21311;ISMIN;SAC A MAIN;VINOLA;24H;36;100;-;PFL;0GT;;;
21312                            X;;21312;IYAS;CHAUSSETTES;JOELLE;24H;35;110;-;PFL;0GU;;;
21313                            X;;21313;IANA;CHAUSSETTES;JOELLE;24H;37;100;-;PFL;0GU;;;
21314                            X;;21314;ISHA;CHAUSSETTES;JOELLE;24H;35;100;-;PFL;0GU;;;
21315                            X;;21315;IZAHC;CHAUSSETTES;JOELLE;24H;43;120;-;PFL;0GU;;;
21316                            X;;21316;ISEMNE;CHAUSSETTES;JOELLE;24H;46;130;-;PFL;0GU;;;
21317                            X;;21317;IDETTE;CHAUSSETTES;JOELLE;24H;43;120;-;PFL;0GU;;;
21318                            X;;21318;IDELMA;CHAUSSETTES;JOELLE;24H;58;160;-;PFL;0GU;;;
21319                            X;;21319;ISOLYNE;CHAUSSETTES;JOELLE;24H;55;150;-;PFL;0GU;;;
21320                            X;;21320;IFRAN;SAC A MAIN;VINOLA;24H;36;100;-;PFL;0GT;;;
21321                            X;;21321;IBRA;SAC A MAIN;VINOLA;24H;68;170;-;PFL;0GT;;;
21322                            X;;21322;IZACK;TEE SHIRT;DELFINO;24H;13;35;-;PFL;0GS;;;
21323                            X;;21323;INKA;TEE SHIRT;DELFINO;24H;12;35;-;PFL;0GS;;;
21324                            X;;21324;IZAS;PANTALON;MY LOOK;24H;24;80;-;PFL;0GS;;;
21325                            X;;21325;IZAM;SWEATSHIRT;MY LOOK;24H;24;80;-;PFL;0GS;;;
21327                            X;;21327;IRWING;legging;ROSELLA;24H;35;100;-;PFL;0GS;;;
21328                            X;;21328;IZZY;VESTE;ARTEMIS;24H;63;180;-;PFL;0GS;;;
21329                            X;;21329;IZOLD;PYJAMA;AICHA FASHION;24H;28;80;-;PFL;0GS;;;
21330                            X;;21330;INAYA;CHEMISE;AICHA FASHION;24H;28;80;-;PFL;0GS;;;
21331                            X;;21331;IRIS;BLOUSE;AICHA FASHION;24H;28;80;-;PFL;0GS;;;
21332                            X;;21332;IDA;PYJAMA;AICHA FASHION;24H;28;80;-;PFL;0GS;;;
21333                            X;;21333;ILYAN;VESTE;ROSELLA;24H;68;190;-;PFL;0GS;;;
21334                            X;;21334;IBERIS;TUNIQUE;AICHA FASHION;24H;17;50;-;PFL;0GS;;;
21335                            X;;21335;IGNAME;TEE SHIRT;AICHA FASHION;24H;17;50;-;PFL;0GS;;;
21336                            X;;21336;INULA;TEE SHIRT;AICHA FASHION;24H;17;50;-;PFL;0GS;;;
21337                            X;;21337;IPOMEE;SOUS PULL;AICHA FASHION;24H;17;50;-;PFL;0GS;;;
21338                            X;;21338;ITEA;TEE SHIRT;AICHA FASHION;24H;17;50;-;PFL;0GS;;;
21339                            X;;21339;IXIA;PYJAMA;AICHA FASHION;24H;42;120;-;PFL;0GS;;;
21340                            X;;21340;IXORA;PYJAMA;AICHA FASHION;24H;24;70;-;PFL;0GS;;;
21341                            X;;21341;IMPATIENS;VESTE;ARTEMIS;24H;63;180;-;PFL;0GS;;;
21342                            X;;21342;INDIGOFERA;MANTEAU;ARTEMIS;24H;81;240;-;PFL;0GS;;;
21343                            X;;21343;INULA;VESTE;ARTEMIS;24H;66;190;-;PFL;0GS;;;
21344                            X;;21344;IPOMEE;PANTALON;ARTEMIS;24H;32;90;-;PFL;0GS;;;
21345                            X;;21345;IRESINE;VESTE;ARTEMIS;24H;63;180;-;PFL;0GS;;;
21346                            X;;21346;ISATIS;PANTALON;ARTEMIS;24H;32;90;-;PFL;0GS;;;
21347                            X;;21347;ISODON;ROBE;ARTEMIS;24H;48;140;-;PFL;0GS;;;
21348                            X;;21348;ITEA;ROBE;ARTEMIS;24H;49;140;-;PFL;0GS;;;
21349                            X;;21349;IVRAIE;BLOUSE;ARTEMIS;24H;30;90;-;PFL;0GS;;;
21350                            X;;21350;IVROGNE;JUPE;ARTEMIS;24H;30;90;-;PFL;0GS;;;
21351                            X;;21351;ISLANDE;DEBARDEUR;NBL;24H;12;30;-;PFL;0GV;;;
21352                            X;;21352;ITTO;SLIP;NBL;24H;12;28;-;PFL;0GV;;;
21353                            X;;21353;ISE;SLIP;NBL;24H;12;28;-;PFL;0GV;;;
21354                            X;;21354;IXIA;PYJAMA;DELFINO;24H;35;90;-;PFL;0GS;;;
21355                            X;;21355;IRMA;DEBARDEUR;GRP GRATTI TEXTILE;24H;10;26;-;PFL;0GS;;;
21356                            X;;21356;IYAD;DEBARDEUR;GRP GRATTI TEXTILE;24H;10;30;-;PFL;0GS;;;
