Date document;Etablissement ligne doc.;Code article;Code-barres article;Taille;Couleur;Saison;
01/03/2026;030;22148;6191114625563;XL;995;25H;;1,00;
01/03/2026;030;22177;6191114628847;S;010;25H;;1,00;
01/03/2026;030;22177;6191114628854;S;215;25H;;1,00;
01/03/2026;030;22177;6191114628885;L;010;25H;;2,00;
01/03/2026;030;22177;6191114628892;L;215;25H;;1,00;
01/03/2026;030;22183;6191114629516;M;995;25H;;1,00;
01/03/2026;030;22194;6191114628212;XL;I385;25H;;1,00;
01/03/2026;030;22201;6191114630420;XL;815;25H;;2,00;
01/03/2026;030;22209;6191114640719;L;815;25H;;1,00;
01/03/2026;030;22217;6191114642874;XXL;000;25H;;1,00;
01/03/2026;030;22252;6191114650152;L;255;25H;;1,00;
01/03/2026;030;22253;6191114669253;L;255;25H;;1,00;
01/03/2026;030;22258;6191114650886;4XL;740;25H;;1,00;
01/03/2026;030;22264;6191114651708;XL;995;25H;;1,00;
01/03/2026;030;22272;6191114652606;XL;010;25H;;1,00;
01/03/2026;030;22275;6191114652965;L;790;25H;;1,00;
01/03/2026;030;22287;6191114654501;XS;995;25H;;1,00;
01/03/2026;030;22288;6191114654648;S;995;25H;;1,00;
01/03/2026;030;22291;6191114655454;XL;495;25H;;1,00;
01/03/2026;030;22294;6191114656093;L;950;25H;;1,00;
01/03/2026;030;22295;6191114656222;L;995;25H;;1,00;
01/03/2026;030;22301;6191114657168;XXL;215;25H;;1,00;
01/03/2026;030;22303;6191114657380;L;195;25H;;1,00;
01/03/2026;030;22322;6191114659490;XL;645;25H;;1,00;
01/03/2026;030;22323;6191114659582;S;995;25H;;1,00;
01/03/2026;030;22330;6191114660069;L;220;25H;;1,00;
01/03/2026;030;22343;6191114661349;M;I634;25H;;1,00;
01/03/2026;030;22405;6191114670402;M;476;26E;;1,00;
01/03/2026;030;22413;6191114672741;2XL/3;205;26E;;1,00;
01/03/2026;030;22458;6191114678965;L;R350;26E;;1,00;
01/03/2026;030;55806;6191114640832;M;870;25H;;1,00;
01/03/2026;030;55808;6191114641204;M;975;25H;;1,00;
01/03/2026;030;55817;6191114654822;XXL;385;25H;;1,00;
01/03/2026;030;70210;6191114619180;L;R385;25H;;1,00;
01/03/2026;030;70216;6191114624306;M;R385;25H;;1,00;
01/03/2026;030;70222;6191114630963;S;476;25H;;1,00;
01/03/2026;030;70222;6191114630970;M;476;25H;;1,00;
01/03/2026;030;70222;6191114630994;XL;476;25H;;1,00;
01/03/2026;030;70223;6191114631021;S;476;25H;;1,00;
01/03/2026;030;70223;6191114631038;M;476;25H;;1,00;
01/03/2026;030;70223;6191114631052;XL;476;25H;;1,00;
